id,username,tweet,date,retweets
1265296042917900288,lunaespanaa,Depressed? Ambot lang,2020-05-26 14:57:39+00:00,0
1265296016343019521,Doonky_love,Shit had me depressed af,2020-05-26 14:57:33+00:00,0
1265295995551744001,alyikav,I left that one and I'm p sure next year I felt the other beige one XD de milagro no he dejado cosplays o wigs allá XD,2020-05-26 14:57:28+00:00,0
1265295987192614913,realtayebaye,this is us and a star is born. was DEPRESSED after those ,2020-05-26 14:57:26+00:00,0
1265295947434807299,dougfahringer,Thank you. I was shaken and depressed after Trump’s election. Comey’s firing and then the Unite the Right incident in Charlottesville convinced me my fears this presidency would affect our country in a negative way. Thank you for your encouragement. We are better than this. ,2020-05-26 14:57:16+00:00,0
1265295930640805889,theKYingredient,He legit made Korra depressed. Had her questioning her right of passage. Didn’t she go back to him for help the next season? ,2020-05-26 14:57:12+00:00,0
1265295910851842048,ChickenColeman,Them hoes going for 4 grand rn,2020-05-26 14:57:07+00:00,0
1265295910013030401,JaytotheTee,"Same. So now when I’m depressed, I remember that one day I’ll be looking back at this time and I imagine that this future not depressed me is with me, looking back at me, knowing.",2020-05-26 14:57:07+00:00,0
1265295888919998464,Rise_Of_Islam_,I'm depressed ,2020-05-26 14:57:02+00:00,0
1265295871102631942,LucioMM1,"i disagree with @C1aranMurray re ""controlling"" for NH. It would be like controlling for depressed people when checking suicide rates. I mean those are the people who are going to be most affected. STILL, i agree that the ex-NH IFR is what we need to measure WHEN assessing /",2020-05-26 14:56:58+00:00,0
1265295862642532352,simountrousxxxl,"sometimes i think im over that ""depressed-suicidal teen"" phase, and sometimes i wanna run into a crowd with no face mask. ufeelme?",2020-05-26 14:56:56+00:00,0
1265295862084718592,nicolehyacint_,pag tinapatan ko to sa personal depress to kingina nanggigil nanaman ako,2020-05-26 14:56:56+00:00,0
1265295858083549188,rredixii,"u cant trade it depressed face i cant even use it either, only for looks. i play on ipad LOLW",2020-05-26 14:56:55+00:00,0
1265295844682731520,ben_my_friend,He was the best,2020-05-26 14:56:52+00:00,0
1265295831785226241,depresss_sssed,Я вот сейчас думаю куда мне уйти в депрессию или в мир иной.,2020-05-26 14:56:49+00:00,0
1265295823686062080,zikay01,"When you're alone, you reflect. You reflect, then over think. You over think, then regret. You regret and become depressed!",2020-05-26 14:56:47+00:00,0
1265295823648157697,RachaelTooCool,"I always thought i enjoyed it because i was depressed, turns out i enjoy it because I have terrible taste.",2020-05-26 14:56:47+00:00,0
1265295802705952769,DDAENGPRINT,I always thought that putting OUTRO TEAR right before TTU was some malevolent sht cause it was such a sudden change of mood. From hyped to sad but now it’s more malevolent cause it turns out it’s from SUPER SAD to TOTALLY DEPRESSED,2020-05-26 14:56:42+00:00,1
1265295788051238912,rinjirenee,"Also regardless of Hawke, it really nails Varric as a nostalgic, sentimental character who thinks a lot about the good ol' days, which flies in the face of his too cool for school attitude at the beginning of DA2. So anyway I am also a sentimental and depressed person so I cry",2020-05-26 14:56:38+00:00,0
